Feature,Coefficient,Absolute
numeric__V216,48.55271936523203,48.55271936523203
categorical__DeviceInfo_SM-A320Y Build/NRD90M,-48.50204285154899,48.50204285154899
categorical__DeviceInfo_Z837VL,48.36217837481922,48.36217837481922
categorical__DeviceInfo_SM-T230 Build/KOT49H,48.22714044868793,48.22714044868793
categorical__id_31_chrome 46.0 for android,-48.18094296026921,48.18094296026921
categorical__DeviceInfo_GT-I8190L Build/JZO54K,48.052989524920974,48.052989524920974
categorical__id_31_samsung browser 4.0,-47.62127393150658,47.62127393150658
categorical__DeviceInfo_Moto C Plus Build/NRD90M.05.022,-47.27160624770255,47.27160624770255
numeric__V103,47.01346651336475,47.01346651336475
categorical__id_30_Mac OS X 10.11,46.68782639091695,46.68782639091695
categorical__R_emaildomain_sbcglobal.net,-46.21069452739856,46.21069452739856
categorical__DeviceInfo_Redmi 4X Build/N2G47H,-45.887213438820304,45.887213438820304
categorical__DeviceInfo_rv:50.0,-45.45224041712323,45.45224041712323
categorical__id_31_chrome,45.34225684771423,45.34225684771423
categorical__DeviceInfo_LG-H542 Build/MRA58K,45.275099227980135,45.275099227980135
categorical__DeviceInfo_LG-H910 Build/NRD90M,45.258765264036285,45.258765264036285
categorical__R_emaildomain_live.fr,45.25412685291633,45.25412685291633
categorical__P_emaildomain_live.fr,45.254126852851776,45.254126852851776
numeric__V323,45.22936370787941,45.22936370787941
categorical__DeviceInfo_SM-N910H,45.1693290919009,45.1693290919009
numeric__V279,-44.847706413908234,44.847706413908234
categorical__DeviceInfo_LG-H840 Build/NRD90U,44.69837124004394,44.69837124004394
numeric__V243,44.5875877566121,44.5875877566121
categorical__DeviceInfo_VS987 Build/NRD90U,-44.47447921283475,44.47447921283475
categorical__DeviceInfo_XT1635-01 Build/NDNS26.118-23-12-3,44.33823917927473,44.33823917927473
