Model,Precision,Recall,F1,AUC
Logistic C=1.0,0.2813765182186235,0.6205357142857143,0.3871866295264624,0.8526214640013426
Logistic C=0.01,0.12529182879377432,0.71875,0.21338634857521538,0.8588281089749568
