Model,Test Accuracy,ROC AUC
Decision Tree,0.975142675967026,0.7563899131967106
Random Forest,0.9769181991122384,0.8758968196990322
Gradient Boosting,0.9798351299936588,0.8772158264493632
Best GridSearch RF,0.980722891566265,0.8960807988513249
