Training Fraction,Training AUC,Testing AUC
0.2,0.9999999999999999,0.8549593721446287
0.4,1.0,0.8784415965838104
0.6,1.0,0.8848999804203107
0.8,1.0,0.8957984667238517
1.0,1.0,0.8960807988513249
