mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__max_depth,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
124.37988982200622,14.272160804738041,2.131325054168701,0.4224537462417333,,1,200,"{'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 200}",0.921277268704237,0.8921616623150566,0.8908071021194044,0.8731302055224119,0.8678202991671163,0.8890393075656451,0.018737695591388357,1
69.23311367034913,19.885399565798735,1.421532440185547,0.6166279725412711,,5,200,"{'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 200}",0.9284070327803253,0.8880566434580794,0.8821819799582828,0.8701709891039573,0.8714541367037647,0.8880541564008819,0.021251848959408612,2
46.894386529922485,1.7041039480568947,1.808419942855835,0.948277418125808,,5,100,"{'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 100}",0.9245258597509232,0.8846206846533217,0.8807784945373921,0.8682916222996923,0.8708255539186371,0.8858084430319935,0.020283369956505815,3
70.77161779403687,2.2767688303512186,1.6579018592834474,0.6966806800841203,,1,100,"{'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 100}",0.9210398225853644,0.8837694009283434,0.8893616807911664,0.867713636098429,0.85901558192453,0.8841800244655668,0.021401186909406403,4
34.17477765083313,1.8558665455282433,1.0789653301239013,0.12073491106248826,,5,50,"{'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 50}",0.9167698942020306,0.8777927364374818,0.8799156176612163,0.8614100310690376,0.8715858701518445,0.8814948299043222,0.018772939014355384,5
29.812892818450926,1.5602300876411463,1.1008973598480225,0.4838010712107281,,1,50,"{'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 50}",0.9072173593621677,0.871771195967508,0.8735723558498767,0.8589171237072801,0.8613690068118499,0.8745694083397364,0.017285586057889723,6
49.23751187324524,2.727352239514429,1.645078754425049,0.7049170774133732,10,5,200,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 200}",0.8955487739850203,0.8609488323179577,0.8514643836515601,0.8400318348235774,0.8513855259127441,0.8598758701381719,0.019028043011583336,7
57.47660851478577,10.621313296705877,0.9614675521850586,0.22440576976794008,10,1,200,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 200}",0.8915737163097683,0.8590459094865099,0.8540689681578832,0.8380061481686771,0.8531919607042315,0.8591773405654142,0.017661721681275645,8
25.40732340812683,0.949858189425429,1.323419713973999,0.8912565723405627,10,5,100,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 100}",0.8948897584612397,0.8595694625761531,0.8456033847747131,0.839549571889085,0.8478382951412693,0.857490094568492,0.01979581817716539,9
37.02048258781433,2.1123479305657784,1.3940003395080567,0.6039624388956307,10,1,100,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 100}",0.8904557598230228,0.8554852951842181,0.8492586460901148,0.8396813053371647,0.851133910468661,0.8572029833806363,0.01741064580262874,10
