mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__max_depth,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10.271277570724488,0.6670604357531583,0.5217548370361328,0.13248589936011398,5,1,50,"{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 50}",0.8687588358668514,0.8260330541050189,0.8158548725877738,0.8119995040623131,0.8249271591522382,0.8295146851548392,0.02033048234927093,18
15.741057348251342,1.3771627975692957,1.2673317432403564,0.47013836898639594,5,1,100,"{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 100}",0.8744940027764333,0.822960182767624,0.8284260724652479,0.8175386904327786,0.8195388508832067,0.8325915598650582,0.02127388785305673,16
27.183188724517823,2.640461732854347,1.2334179401397705,0.4702874790124377,5,1,200,"{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 200}",0.8738728145614174,0.8291603205686104,0.8305269702583251,0.8170486784719285,0.8219966597138149,0.8345210887148193,0.020275086120481997,14
9.439340591430664,1.0923286988672285,0.8292964935302735,0.23875241866327335,5,5,50,"{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 50}",0.8702108576225673,0.8280710581665216,0.8238514119637674,0.8187543759207665,0.8201364375629038,0.8322048282473054,0.019276340986089564,17
15.855807733535766,0.7412941749313978,0.9654152393341064,0.4794512597234442,5,5,100,"{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 100}",0.8753854511612984,0.8286440201624601,0.8287697645754628,0.818249777557361,0.8190552204734746,0.8340208467860114,0.0211670083837422,15
27.389829111099242,1.7613417991974065,1.0926348686218261,0.2818902232902705,5,5,200,"{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 200}",0.8732958341650784,0.8320060922541341,0.8301190068118501,0.8167879465262481,0.8223193838703561,0.8349056527255334,0.019958912308088807,13
12.690673351287842,1.0117856832676224,0.8902174472808838,0.3750754142533599,10,1,50,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 50}",0.8878680073029493,0.8529590948651,0.8463017087970595,0.8362758361655265,0.8494118033169479,0.8545632900895168,0.01755562669588673,12
37.02048258781433,2.1123479305657784,1.3940003395080567,0.6039624388956307,10,1,100,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 100}",0.8904557598230228,0.8554852951842181,0.8492586460901148,0.8396813053371647,0.851133910468661,0.8572029833806363,0.01741064580262874,10
57.47660851478577,10.621313296705877,0.9614675521850586,0.22440576976794008,10,1,200,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 200}",0.8915737163097683,0.8590459094865099,0.8540689681578832,0.8380061481686771,0.8531919607042315,0.8591773405654142,0.017661721681275645,8
16.10915641784668,1.2550694602022232,0.8848728656768798,0.3337917900330831,10,5,50,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 50}",0.890306729341504,0.8619288511749347,0.842559840716484,0.8395682607173593,0.8498858614000029,0.856849908670057,0.018420172957209043,11
