Model,Train Accuracy,Test Accuracy,ROC AUC
Default Decision Tree,1.0,0.9698161065313887,0.7374427760270014
Controlled Decision Tree,0.9771062561435774,0.975142675967026,0.7563899131967106
Gini Decision Tree,0.9773599264356153,0.9753963221306278,0.7387979119659873
Entropy Decision Tree,0.9782160636712433,0.9775523145212429,0.80030086290488
